'1', '0', 'transmission_control', 'email_out', 'Conexion_establecida', '331', '757', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '142', '90', '0.63', '0.04', '0.01', '0.00', '0.00', '0.00', '0.00', '0.00'
'12', '0', 'transmission_control', 'web', 'Conexion_establecida', '2118', '229', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '13', '13', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '86', '255', '1.00', '0.00', '0.01', '0.04', '0.00', '0.00', '0.00', '0.00'
'13', '0', 'transmission_control', 'web', 'Conexion_establecida', '11360', '388', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '31', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.13', '32', '255', '1.00', '0.00', '0.03', '0.02', '0.00', '0.00', '0.00', '0.00'
'14', '0', 'transmission_control', 'web', 'Conexion_establecida', '1160', '301', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '255', '255', '1.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'15', '0', 'transmission_control', 'web', 'Conexion_establecida', '780', '212', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '15', '16', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.12', '15', '255', '1.00', '0.00', '0.07', '0.01', '0.00', '0.00', '0.00', '0.00'
'16', '0', 'transmission_control', 'web', 'Conexion_establecida', '12072', '279', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '9', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.33', '2', '255', '1.00', '0.00', '0.50', '0.03', '0.00', '0.00', '0.00', '0.00'
'17', '0', 'transmission_control', 'web', 'Conexion_establecida', '997', '322', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '7', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.29', '230', '255', '1.00', '0.00', '0.00', '0.01', '0.00', '0.00', '0.00', '0.00'
'18', '4', 'transmission_control', 'email_out', 'Conexion_establecida', '372', '2075', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '171', '187', '0.71', '0.02', '0.01', '0.01', '0.01', '0.01', '0.00', '0.00'
'19', '0', 'transmission_control', 'web', 'Conexion_establecida', '664', '364', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '9', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.33', '66', '255', '1.00', '0.00', '0.02', '0.07', '0.00', '0.01', '0.00', '0.00'
'20', '0', 'transmission_control', 'web', 'Conexion_establecida', '671', '322', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '28', '30', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.10', '255', '255', '1.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'21', '0', 'transmission_control', 'web', 'Conexion_establecida', '8818', '209', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '5', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '50', '255', '1.00', '0.00', '0.02', '0.02', '0.00', '0.00', '0.00', '0.00'
'22', '0', 'transmission_control', 'web', 'Conexion_establecida', '4823', '313', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '34', '34', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '255', '255', '1.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'23', '0', 'transmission_control', 'web', 'Conexion_establecida', '2759', '299', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '4', '4', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '51', '255', '1.00', '0.00', '0.02', '0.03', '0.02', '0.00', '0.00', '0.00'
'24', '0', 'transmission_control', 'user_lookup', 'Conexion_establecida', '137', '8', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '137', '10', '0.01', '0.02', '0.01', '0.20', '0.00', '0.00', '0.00', '0.00'
'25', '0', 'transmission_control', 'web', 'Conexion_establecida', '6107', '211', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '2', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '2', '255', '1.00', '0.00', '0.50', '0.03', '0.00', '0.00', '0.00', '0.00'
'26', '0', 'transmission_control', 'web', 'Conexion_establecida', '4019', '256', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '2', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '21', '39', '1.00', '0.00', '0.05', '0.05', '0.00', '0.00', '0.00', '0.00'
'27', '0', 'transmission_control', 'web', 'Conexion_establecida', '262', '321', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '8', '10', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.20', '27', '255', '1.00', '0.00', '0.04', '0.04', '0.00', '0.00', '0.00', '0.00'
'28', '0', 'transmission_control', 'web', 'Conexion_establecida', '283', '204', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '3', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '45', '255', '1.00', '0.00', '0.02', '0.03', '0.00', '0.00', '0.00', '0.00'
'29', '0', 'transmission_control', 'web', 'Conexion_establecida', '55804', '216', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '14', '24', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.17', '14', '255', '1.00', '0.00', '0.07', '0.04', '0.00', '0.00', '0.00', '0.00'
'30', '0', 'transmission_control', 'web', 'Conexion_establecida', '3184', '230', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '3', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.67', '2', '136', '1.00', '0.00', '0.50', '0.10', '0.00', '0.01', '0.00', '0.00'
'31', '0', 'transmission_control', 'email_out', 'Conexion_establecida', '332', '837', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '7', '191', '0.86', '0.29', '0.14', '0.02', '0.00', '0.00', '0.00', '0.00'
'32', '0', 'transmission_control', 'web', 'Conexion_establecida', '10569', '287', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '8', '10', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.20', '8', '255', '1.00', '0.00', '0.12', '0.02', '0.00', '0.00', '0.00', '0.00'
'33', '0', 'transmission_control', 'web', 'Conexion_establecida', '809', '320', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '12', '25', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.08', '146', '255', '1.00', '0.00', '0.01', '0.02', '0.00', '0.00', '0.01', '0.00'
'34', '2', 'transmission_control', 'email_out', 'Conexion_establecida', '329', '1726', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '184', '172', '0.62', '0.04', '0.01', '0.01', '0.01', '0.01', '0.00', '0.00'
'35', '0', 'transmission_control', 'web', 'Conexion_establecida', '2747', '318', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '2', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '223', '255', '1.00', '0.00', '0.00', '0.02', '0.00', '0.00', '0.00', '0.00'
'36', '0', 'transmission_control', 'web', 'Conexion_establecida', '1321', '271', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '8', '8', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '255', '255', '1.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'37', '3', 'transmission_control', 'email_out', 'Conexion_establecida', '336', '2152', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '1.00', '248', '180', '0.70', '0.02', '0.00', '0.01', '0.00', '0.00', '0.00', '0.00'
'38', '0', 'transmission_control', 'web', 'Conexion_establecida', '924', '219', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '10', '10', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '10', '255', '1.00', '0.00', '0.10', '0.03', '0.00', '0.00', '0.00', '0.00'
'39', '0', 'transmission_control', 'web', 'Conexion_establecida', '332', '154', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '5', '255', '1.00', '0.00', '0.20', '0.02', '0.00', '0.00', '0.00', '0.00'
'40', '0', 'transmission_control', 'file_transfer_data', 'Conexion_establecida', '0', '7233', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '3', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '42', '122', '0.21', '0.12', '0.21', '0.02', '0.00', '0.01', '0.00', '0.00'
'41', '0', 'transmission_control', 'web', 'Conexion_establecida', '284', '335', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '16', '16', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '255', '255', '1.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'42', '0', 'transmission_control', 'web', 'Conexion_establecida', '532', '208', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '16', '16', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '16', '255', '1.00', '0.00', '0.06', '0.02', '0.00', '0.00', '0.00', '0.00'
'43', '0', 'user_datagram', 'dns_udp', 'Conexion_establecida', '72', '43', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '280', '280', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '255', '209', '0.82', '0.01', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'44', '0', 'transmission_control', 'web', 'Conexion_establecida', '1849', '305', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '4', '4', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '255', '255', '1.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'45', '0', 'transmission_control', 'web', 'Conexion_establecida', '2435', '201', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '14', '14', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '255', '255', '1.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'46', '0', 'transmission_control', 'web', 'Conexion_establecida', '2552', '346', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '4', '4', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '14', '255', '1.00', '0.00', '0.07', '0.05', '0.00', '0.00', '0.00', '0.00'
'47', '0', 'transmission_control', 'web', 'Conexion_establecida', '4607', '352', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '6', '6', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '63', '123', '1.00', '0.00', '0.02', '0.03', '0.00', '0.00', '0.00', '0.00'
'48', '0', 'user_datagram', 'time_sync_udp', 'Conexion_establecida', '48', '48', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '255', '42', '0.16', '0.01', '0.16', '0.00', '0.00', '0.00', '0.00', '0.00'
'49', '0', 'transmission_control', 'web', 'Conexion_establecida', '1404', '299', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '14', '19', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.11', '255', '255', '1.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'50', '0', 'transmission_control', 'web', 'Conexion_establecida', '11115', '230', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '8', '12', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.33', '16', '255', '1.00', '0.00', '0.06', '0.04', '0.00', '0.01', '0.00', '0.00'
'51', '0', 'transmission_control', 'web', 'Conexion_establecida', '7755', '285', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '4', '17', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.12', '48', '255', '1.00', '0.00', '0.02', '0.02', '0.00', '0.00', '0.00', '0.00'
'52', '0', 'transmission_control', 'web', 'Conexion_establecida', '2901', '220', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '15', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.20', '69', '255', '1.00', '0.00', '0.01', '0.02', '0.00', '0.00', '0.00', '0.00'
'53', '23', 'transmission_control', 'file_transfer', 'Conexion_establecida', '903', '280', '0', '0', '0', '0', '5', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '1', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '80', '15', '0.19', '0.03', '0.01', '0.00', '0.00', '0.00', '0.00', '0.00'
'54', '0', 'transmission_control', 'web', 'Conexion_establecida', '6539', '184', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '2', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '212', '255', '1.00', '0.00', '0.00', '0.02', '0.00', '0.00', '0.00', '0.00'
'55', '0', 'transmission_control', 'email_out', 'Conexion_establecida', '278', '745', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '228', '170', '0.75', '0.03', '0.00', '0.00', '0.00', '0.01', '0.00', '0.00'
'56', '0', 'transmission_control', 'web', 'Conexion_establecida', '454', '246', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '6', '6', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '255', '255', '1.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'57', '0', 'transmission_control', 'web', 'Conexion_establecida', '1247', '243', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '22', '22', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '255', '255', '1.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'58', '0', 'transmission_control', 'web', 'Conexion_establecida', '1477', '299', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '2', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '141', '255', '1.00', '0.00', '0.01', '0.02', '0.00', '0.00', '0.00', '0.00'
'59', '0', 'transmission_control', 'web', 'Conexion_establecida', '17602', '285', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '25', '28', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.07', '255', '255', '1.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'60', '0', 'transmission_control', 'web', 'Conexion_establecida', '1721', '294', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '15', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.13', '255', '255', '1.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.01', '0.01'
'61', '0', 'transmission_control', 'file_transfer_data', 'Conexion_establecida', '0', '12241', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '6', '6', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '222', '86', '0.39', '0.03', '0.39', '0.00', '0.01', '0.00', '0.00', '0.00'
'62', '0', 'transmission_control', 'web', 'Conexion_establecida', '9572', '324', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '15', '16', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.12', '255', '255', '1.00', '0.00', '0.01', '0.00', '0.00', '0.00', '0.00', '0.00'
'63', '0', 'transmission_control', 'web', 'Conexion_establecida', '901', '360', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '2', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '75', '255', '1.00', '0.00', '0.01', '0.01', '0.00', '0.00', '0.00', '0.00'
'64', '0', 'transmission_control', 'web', 'Conexion_establecida', '1800', '317', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '8', '8', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '255', '255', '1.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'65', '0', 'transmission_control', 'web', 'Conexion_establecida', '6015', '306', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '12', '255', '1.00', '0.00', '0.08', '0.03', '0.00', '0.00', '0.00', '0.00'
'66', '0', 'transmission_control', 'web', 'Conexion_establecida', '1505', '312', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '6', '255', '1.00', '0.00', '0.17', '0.02', '0.00', '0.00', '0.00', '0.00'
'67', '0', 'transmission_control', 'web', 'Conexion_establecida', '17192', '311', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '4', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.50', '32', '255', '1.00', '0.00', '0.03', '0.07', '0.03', '0.01', '0.00', '0.00'
'68', '0', 'transmission_control', 'web', 'Conexion_establecida', '1451', '308', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '4', '13', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.15', '4', '255', '1.00', '0.00', '0.25', '0.04', '0.00', '0.00', '0.00', '0.00'
'69', '0', 'transmission_control', 'web', 'Conexion_establecida', '3084', '202', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '7', '50', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.08', '157', '255', '1.00', '0.00', '0.01', '0.02', '0.00', '0.00', '0.00', '0.00'
'70', '0', 'transmission_control', 'web', 'Conexion_establecida', '1370', '182', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '22', '23', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.09', '95', '255', '1.00', '0.00', '0.01', '0.02', '0.00', '0.00', '0.00', '0.00'
'71', '0', 'transmission_control', 'web', 'Conexion_rechazada', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0.00', '0.00', '1.00', '1.00', '1.00', '0.00', '0.00', '4', '255', '1.00', '0.00', '0.25', '0.21', '0.00', '0.00', '1.00', '1.00'
'72', '0', 'transmission_control', 'web', 'Conexion_establecida', '2313', '231', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '32', '32', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '255', '255', '1.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'73', '0', 'user_datagram', 'dns_udp', 'Conexion_establecida', '136', '41', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '173', '172', '0.00', '0.00', '0.00', '0.00', '0.99', '0.01', '0.00', '62', '29', '0.47', '0.03', '0.02', '0.00', '0.00', '0.00', '0.00', '0.00'
'74', '0', 'transmission_control', 'web', 'Conexion_establecida', '1172', '331', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '19', '20', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.10', '149', '255', '1.00', '0.00', '0.01', '0.06', '0.00', '0.00', '0.00', '0.00'
'75', '0', 'user_datagram', 'dns_udp', 'Conexion_establecida', '123', '44', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '30', '30', '0.00', '0.00', '0.00', '0.00', '0.97', '0.07', '0.07', '255', '254', '1.00', '0.01', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'76', '0', 'transmission_control', 'web', 'Conexion_establecida', '773', '308', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '3', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '255', '255', '1.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'77', '23', 'transmission_control', 'file_transfer', 'Conexion_establecida', '1069', '324', '0', '0', '0', '0', '6', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '1', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '130', '30', '0.23', '0.05', '0.01', '0.00', '0.00', '0.00', '0.00', '0.00'
'78', '0', 'transmission_control', 'email_in', 'Conexion_establecida', '130', '35', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '255', '5', '0.02', '0.03', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'79', '0', 'transmission_control', 'web', 'Conexion_establecida', '2698', '306', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '4', '5', '0.00', '0.00', '0.00', '0.20', '1.00', '0.00', '0.40', '255', '245', '0.96', '0.02', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'80', '0', 'transmission_control', 'web', 'Conexion_establecida', '673', '327', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '16', '16', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '230', '255', '1.00', '0.00', '0.00', '0.02', '0.00', '0.00', '0.00', '0.00'
